"name"	"taxRank"	"taxID"	"Max"	"CTX02_d0_M_report.txt.cladeReads.."	"CTX02_dC_M_report.txt.cladeReads.."	"CTX02_dT_M_report.txt.cladeReads.."	"CTX03_d0_M_report.txt.cladeReads.."	"CTX03_dC_M_report.txt.cladeReads.."	"CTX03_dT_M_report.txt.cladeReads.."	"CTX04_d0_M_report.txt.cladeReads.."	"CTX04_dC_M_report.txt.cladeReads.."	"CTX04_dT_M_report.txt.cladeReads.."	"CTX05_d0_M_report.txt.cladeReads.."	"CTX05_dC_M_report.txt.cladeReads.."	"CTX05_dT_M_report.txt.cladeReads.."	"CTX06_d0_M_report.txt.cladeReads.."	"CTX06_dC_M_report.txt.cladeReads.."	"CTX06_dT_M_report.txt.cladeReads.."	"lineage"
"Gilliamella"	"G"	1193503	44.46	30.51	41.67	33.3	44.46	25.47	33.27	29.56	31.89	34.4	26.17	33.58	17.95	29.31	27.88	28.72	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae"
"Frischella"	"G"	1335631	22.79	22.79	11.88	5.066	4.366	7.32	9.717	6.829	7.059	9.082	9.609	7.937	3.363	7.076	11.4	15.62	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Orbales>Orbaceae"
"Pantoea"	"G"	53335	1.498	1.399	0.5716	1.062	0.5328	1.031	0.6249	0.4927	1.498	0.3988	0.3522	0.2998	0.2534	0.1509	0.04016	0.2111	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Erwiniaceae"
"Serratia"	"G"	613	1.146	0.9931	0.5469	0.7185	0.2836	1.146	0.4044	0.2943	0.5602	0.2567	0.5632	0.08981	0.6009	0.1359	0.04221	0.2018	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Gammaproteobacteria>Enterobacterales>Yersiniaceae"
"Snodgrassella"	"G"	1193515	6.598	3.426	6.598	6.24	4.399	5.212	3.344	1.578	3.991	4.021	3.587	4.25	1.096	3.686	4.073	2.459	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales>Neisseriaceae"
"Commensalibacter"	"G"	1079922	1.363	0.4119	0.4853	0.6745	0.1897	0.2002	0.7348	1.363	0.3911	1.156	0.9524	0.2614	0.4472	0.3173	0.5936	0.5109	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae"
"Bombella"	"G"	1654741	0.2974	0.05874	0.07126	0.03919	0.08596	0.01168	0.008046	0.09625	0.02111	0.2974	0.02845	0.06887	0.01022	0.05507	0.06899	0.02245	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhodospirillales>Acetobacteraceae"
"Bartonella"	"G"	773	2.91	0.01246	0.006252	0.005579	0.003982	0.04197	0.00782	0.02431	0.04991	0.8051	1.147	0.007124	0.1769	0.2607	2.91	0.04408	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Alphaproteobacteria>Rhizobiales>Bartonellaceae"
"Lactobacillus"	"G"	1578	52.69	33.03	31.17	43.65	39.13	33.07	44.38	52.69	42.49	38.2	45.78	46.38	48.62	32.25	39.28	39.36	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae"
"Melissococcus"	"G"	33969	21.59	0.01468	0.01192	0.01027	0.01122	17.36	0.01335	0.009207	0.007643	3.128	5.713	0.006493	18.32	21.59	0.008329	3.692	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Enterococcaceae"
"Paenibacillus"	"G"	44249	0.01194	0.008369	0.00674	0.005711	0.004575	0.004706	0.005532	0.005198	0.003002	0.004297	0.004275	0.002408	0.008806	0.01194	0.003834	0.003135	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Brevibacillus"	"G"	55080	0.009181	0.00177	0.001225	0.001008	0.001315	0.00153	0.001358	0.001597	0.001201	0.001392	0.001643	0.0006972	0.006907	0.009181	0.0007964	0.0008958	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Paenibacillaceae"
"Bifidobacterium"	"G"	1678	13.65	7.237	6.89	9.18	6.491	9.095	7.427	7.017	11.9	6.787	5.902	7.095	9.102	5.1	13.65	9.106	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Bifidobacteriales>Bifidobacteriaceae"
"Spiroplasma"	"G"	2132	1.433	0.03594	0.01613	0.01684	0.01341	0.009674	0.02059	0.01388	0.007542	1.433	0.1129	0.006536	0.009478	0.008369	0.009976	0.006738	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Spiroplasmataceae"
"Apibacter"	"G"	1778601	0.136	0.06742	0.07648	0.02918	0.0323	0.02374	0.04358	0.02509	0.136	0.02663	0.07609	0.02099	0.04468	0.03754	0.03754	0.04558	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Weeksellaceae"
