"","sample","Acid_resistance","Aminocoumarins","Aminoglycosides","Arsenic_resistance","betalactams","Biocide_and_metal_resistance","Cationic_antimicrobial_peptides","Copper_resistance","Drug_and_biocide_and_metal_resistance","Drug_and_biocide_resistance","Elfamycins","Fluoroquinolones","Fosfomycin","Glycopeptides","MLS","Multi.biocide_resistance","Multi.drug_resistance","Multi.metal_resistance","Nickel_resistance","Oxazolidinone","Peroxide_resistance","Phenicol","Phenolic_compound_resistance","Rifampin","Sodium_resistance","Sulfonamides","Tetracyclines","Trimethoprim","Zinc_resistance"
"1","HBB06e_t1_M",0,0,26.9644814026945,0.0236360901609403,0,0,2.69881174928555,0,0,0.195534927695051,4.89840062456578,0,0,0,47.6288704097638,0,0.00286498062556852,0,0,5.83883051490864,0,0,0,1.45827513841438,0,0.78357220109299,9.50672196079274,0,0
"2","HBB06u_t1_M",0,0,27.5243306821197,0,0,0,2.54961164143352,0,0,0.00430314201085826,3.67990360961896,0,0,0,48.7244769889481,0,0,0,0,9.10760006598151,0,0,0,1.84676511299334,0,0.513508279962419,6.04950047693157,0,0
"3","HBB07e_t1_M",0,0,26.0829263568573,0,0.00461163145686049,0,2.34685924839631,0,0,0.0617958615219306,5.07602274456635,0,0,0,51.8891548263029,0,0,0,0,7.26285838140959,0,0.0133737312248954,0,1.26358701917978,0,0.317741407377688,5.68106879170644,0,0
"4","HBB07u_t1_M",0,0,27.044046701493,0.0171276869058834,0,0,2.63709286060918,0,0,0,3.94165167994062,0,0,0,49.6600154149182,0.00913476634980446,0,0.00228369158745111,0,8.53872284547972,0.0108475350403928,0.00570922896862779,0,1.68308069995147,0,0.363106962404727,6.08717992635095,0,0
"5","HBB08e_t1_M",0,0,28.0378189770224,0,0.0393947677316654,0,2.36368606389992,0,0,0.0128635976266662,3.81084079689987,0,0,0,49.5433422842533,0,0,0,0,8.79628885208471,0,0.0498464408033317,0,1.49137334984162,0,0.446206042674985,5.39547522953482,0.0128635976266662,0
"6","HBB08u_t1_M",0,0,27.5109787438956,0.0219836588136152,0,0,2.57365834253681,0,0,0.00523420447943219,4.63750516877692,0,0.0497249425546058,0,48.9748810527032,0,0,0.0649041355449592,0.0136089316465237,8.10045485236926,0.00314052268765932,0.0361160109080821,0,1.2389362002816,0.0240773406053881,0.42920476731344,6.31349744309111,0,0.00209368179177288
"7","HBB09e_t1_M",0,0,29.8747114588929,0,0,0,2.43826309141853,0,0,0,4.2704083854764,0,0,0,48.3050478361232,0,0,0.0479087121267113,0,7.03749945558282,0,0,0,1.75955633629012,0,0.405772273921691,5.86083245016768,0,0
"8","HBB09u_t1_M",0,0,29.0697550130403,0,0,0,2.34565393988627,0,0,0,3.44018555731327,0,0,0,47.9878361622985,0,0,0,0,9.15173799649408,0,0,0,1.69363803497371,0,0.133075377314122,6.17811791867972,0,0
"9","HBB10e_t1_M",0,0,26.8187458105738,0,0,0,2.57141634696293,0,0,0.00927021977551806,4.07390504442575,0,0,0,47.6275368312963,0,0,0.0884236347818646,0,7.39549609937676,0,0.00641784445997404,0,1.70500734486644,0,0.0499165680220203,9.65386425545873,0,0
"10","HBB10u_t1_M",0,0,26.0238620351651,0,0,0,2.55238007719169,0,0,0,3.84273724192857,0,0,0,48.7410402499541,0,0,0,0,10.0686148379587,0,0.0313974146909269,0,1.86470011640017,0,0.618758806591926,6.25650922011885,0,0
